SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
ARA,230,202110,10479,202110,10479,A4,2020/03/02
ARA,230,202110,10479,202110,10479,AARA,2020/03/02
ARA,230,202110,10479,202110,10479,MOIB,2020/03/02
ARC,103,202110,10056,202110,10056,A7,2020/01/30
ARC,103,202110,10056,202110,10056,CC,2020/01/30
ARC,103,202110,10056,202110,10056,MOIB,2020/01/30
ARC,103,202110,10056,202110,10056,MOIE,2020/01/30
ARC,103,202110,10058,202110,10058,A7,2020/01/30
ARC,103,202110,10058,202110,10058,CC,2020/01/30
ARC,103,202110,10058,202110,10058,MOIB,2020/01/30
ARC,103,202110,10058,202110,10058,MOIE,2020/01/30
ARC,225,202110,10066,202110,10066,MOIE,2020/06/09
ARC,225,202110,10066,202110,10066,W,2020/06/09
ARC,342,202110,10072,202110,10072,MOIA,2020/01/30
ART,101,202110,10240,202110,10240,A5,2020/02/17
ART,101,202110,10240,202110,10240,MOIA,2020/02/17
ART,103,202110,10241,202110,10241,MOIA,2020/06/19
ART,104,202110,10242,202110,10242,A5,2020/02/17
ART,104,202110,10242,202110,10242,CC,2020/02/17
ART,104,202110,10242,202110,10242,MOIA,2020/02/17
ART,106,202110,10244,202110,10244,A5,2020/02/17
ART,106,202110,10244,202110,10244,CC,2020/02/17
ART,106,202110,10244,202110,10244,MOIA,2020/02/17
ART,200A,202110,10245,202110,10245,MOIA,2020/06/19
ART,205,202110,10247,202110,10247,A5,2020/02/17
ART,205,202110,10247,202110,10247,MOIA,2020/02/17
ART,207,202110,10248,202110,10248,MOIA,2020/02/17
ART,209,202110,10249,202110,10249,MOIA,2020/02/17
ART,210,202110,10250,202110,10250,CC,2020/02/17
ART,210,202110,10250,202110,10250,MOIA,2020/02/17
ART,342,202110,10073,202110,10073,MOIA,2020/01/30
ART,450A,202110,10263,202110,10263,FREE,2020/02/17
ART,450B,202110,10265,202110,10265,FREE,2020/02/17
ART,450C,202110,10266,202110,10266,FREE,2020/02/17
ART,450D,202110,10267,202110,10267,FREE,2020/02/17
ART,450E,202110,10268,202110,10268,FREE,2020/02/17
ART,450G,202110,10270,202110,10270,FREE,2020/02/17
ASL,101,202110,10006,202110,10006,WLC,2020/06/22
AST,110,202110,10102,202110,10102,A1,2020/02/06
AST,110,202110,10102,202110,10102,MOID,2020/02/06
AST,201,202110,10103,202110,10103,MOID,2020/02/06
AT,104,202110,10243,202110,10243,A5,2020/02/17
AT,104,202110,10243,202110,10243,CC,2020/02/17
AT,104,202110,10243,202110,10243,MOIA,2020/02/17
AT,209,202110,10251,202110,10251,MOIA,2020/02/17
AT,225,202110,10067,202110,10067,A7,2020/01/30
AT,225,202110,10067,202110,10067,MOIE,2020/06/09
AT,225,202110,10067,202110,10067,W,2020/01/30
AT,304,202110,10344,202110,10344,MOIA,2020/03/30
AT,304,202110,10344,202110,10344,MOIB,2020/03/30
BIO,120C,202110,10158,202110,10158,MOID,2020/02/13
BIO,120D,202110,10159,202110,10159,MOID,2020/02/13
BIO,120G,202110,10160,202110,10160,MOID,2020/02/13
BIO,202,202110,10161,202110,10161,W,2020/02/13
BIO,203,202110,10164,202110,10164,MOIC,2020/02/13
BIO,209,202110,10166,202110,10166,MOID,2020/02/13
BIO,210,202110,10169,202110,10169,MOID,2020/02/13
BIO,302,202110,10174,202110,10174,W,2020/02/13
BIO,316,202110,10176,202110,10176,MOID,2020/02/13
BIO,322,202110,10177,202110,10177,W,2020/02/13
BIO,493G,202110,10184,202110,10184,ADVS,2020/02/13
BIO,493G,202110,10184,202110,10184,FREE,2020/02/13
BIO,493G,202110,10184,202110,10184,W,2020/02/13
BOT,114,202110,10288,202110,10288,CC,2020/02/18
BOT,114,202110,10288,202110,10288,MOID,2020/02/18
BOT,114L,202110,10297,202110,10297,100L,2020/02/18
