Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
ART,200A,1,1,10245,DARKROOM PHOTOGRAPHY,,,12,0,,4,,-,,,-,,,-,,.
ART,204,1,1,10246,PRINT WKSHP: RELIEF PROCESS,,,12,0,Timothy McDowell,4,,-,,,-,,,-,,.
ART,205,1,1,10247,DRAWING FUNDAMENTALS,,,16,0,Pamela Marks,4,M W,1315-1600,CUM   315,,-,,,-,,.
ART,207,1,1,10248,DESIGN: TYPE AND IMAGE,,,16,0,Andrea Wollensak,4,T R,1025-1140,CUM   309,T R,1025-1140,CUM   309A,,-,,.
ART,209,1,1,10249,DESIGNING VISUAL INFORMATION,,Y,16,0,Andrea Wollensak,4,T R,0900-1015,CUM   309,T R,0900-1015,CUM   309A,,-,,.
ART,210,1,1,10250,CC: DECODING COLOR,,,16,0,Pamela Marks,4,M W,1025-1140,CUM   315,M W,1025-1140,CUM   305,,-,,.
ART,214,1,1,10252,VIDEO INSTALLATION,,Y,12,0,Nadav Assor,4,R,1900-2200,CUM   301,R,1900-2200,CUM   309A,,-,,.
ART,215,1,1,10254,3D:SCAN/MODEL/ANIMATE/PRINT,,Y,8,0,Nadav Assor,4,M W,0930-1140,CUM   301,M W,0930-1140,CUM   309A,,-,,.
ART,217,1,1,10256,CERAMIC SCULPT:VESSEL CONSTRUC,,,8,0,Denise Pelletier,4,,-,,,-,,,-,,.
ART,218,1,1,10257,CERAMIC SCULPT:OBJECT AS IDEA,,,8,0,Denise Pelletier,4,,-,,,-,,,-,,.
ART,222C,1,1,10259,LARGE FORMAT PAINTING,,,12,0,Chris Barnard,4,T R,1315-1600,CUM   314,,-,,,-,,.
ART,335F,1,1,10261,INDIV STUDIO INSTRUCTION I,Y,,5,0,Timothy McDowell,4,,-,,,-,,,-,,.
ART,342,1,1,10073,"ARCH DESIGN,II:SELECTED TOPICS",,Y,12,0,Bill Pollack,4,M,1900-2145,BUR   1LR,,-,,,-,,.
ART,450A,1,1,10263,SENIOR STUDIO,,,18,0,Nadav Assor,4,,-,,,-,,,-,,.
ART,450B,1,1,10265,SENIOR STUDIO,,,18,0,Greg Bailey,4,,-,,,-,,,-,,.
ART,450C,1,1,10266,SENIOR STUDIO,,,18,0,Chris Barnard,4,,-,,,-,,,-,,.
ART,450D,1,1,10267,SENIOR STUDIO,,,18,0,Pamela Marks,4,,-,,,-,,,-,,.
ART,450E,1,1,10268,SENIOR STUDIO,,,18,0,Timothy McDowell,4,,-,,,-,,,-,,.
